Process	CPU	Private Bytes	Working Set	PID	Description	Company Name
   rundll32.exe		2,224 K	13,492 K	5424	Windows host process (Rundll32)	Microsoft Corporation
   ShellExperienceHost.exe		13,452 K	48,848 K	7316	Windows Shell Experience Host	Microsoft Corporation
   StartMenuExperienceHost.exe		21,268 K	65,616 K	6796		
   SearchUI.exe	Suspended	68,708 K	123,468 K	9152	Search and Cortana application	Microsoft Corporation
   MicrosoftEdge.exe	Suspended	20,340 K	60,224 K	9776	Microsoft Edge	Microsoft Corporation
   browser_broker.exe		1,652 K	8,204 K	1704	Browser_Broker	Microsoft Corporation
   MicrosoftEdgeCP.exe	Suspended	5,784 K	25,368 K	2280	Microsoft Edge Content Process	Microsoft Corporation
   RuntimeBroker.exe		4,984 K	16,716 K	6296	Runtime Broker	Microsoft Corporation
   RuntimeBroker.exe		5,196 K	20,060 K	10216	Runtime Broker	Microsoft Corporation
  svchost.exe		8,188 K	15,220 K	956	Host Process for Windows Services	Microsoft Corporation
  svchost.exe	0.01	2,280 K	7,468 K	1004	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		2,444 K	10,332 K	524	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		5,664 K	15,084 K	1164	Host Process for Windows Services	Microsoft Corporation
   taskhostw.exe		10,512 K	21,180 K	1064	Host Process for Windows Tasks	Microsoft Corporation
  svchost.exe		3,348 K	16,728 K	1172	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		12,900 K	16,024 K	1208	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		2,044 K	11,952 K	1232	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		1,592 K	5,956 K	1364	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		2,660 K	9,516 K	1376	Host Process for Windows Services	Microsoft Corporation
   sihost.exe		7,452 K	30,988 K	2780	Shell Infrastructure Host	Microsoft Corporation
  svchost.exe		5,328 K	9,276 K	1424	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		2,228 K	7,392 K	1492	Host Process for Windows Services	Microsoft Corporation
  VBoxService.exe		3,336 K	9,340 K	1540	VirtualBox Guest Additions Service	Oracle Corporation
